CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster,Deskripsi Cluster
1,Male,19,15,39,4,🧍 Penghasilan & belanja rendah
2,Male,21,15,81,2,"📣 Penghasilan rendah, belanja tinggi"
3,Female,20,16,6,4,🧍 Penghasilan & belanja rendah
4,Female,23,16,77,2,"📣 Penghasilan rendah, belanja tinggi"
5,Female,31,17,40,4,🧍 Penghasilan & belanja rendah
6,Female,22,17,76,2,"📣 Penghasilan rendah, belanja tinggi"
7,Female,35,18,6,4,🧍 Penghasilan & belanja rendah
8,Female,23,18,94,2,"📣 Penghasilan rendah, belanja tinggi"
9,Male,64,19,3,4,🧍 Penghasilan & belanja rendah
10,Female,30,19,72,2,"📣 Penghasilan rendah, belanja tinggi"
11,Male,67,19,14,4,🧍 Penghasilan & belanja rendah
12,Female,35,19,99,2,"📣 Penghasilan rendah, belanja tinggi"
13,Female,58,20,15,4,🧍 Penghasilan & belanja rendah
14,Female,24,20,77,2,"📣 Penghasilan rendah, belanja tinggi"
15,Male,37,20,13,4,🧍 Penghasilan & belanja rendah
16,Male,22,20,79,2,"📣 Penghasilan rendah, belanja tinggi"
17,Female,35,21,35,4,🧍 Penghasilan & belanja rendah
18,Male,20,21,66,2,"📣 Penghasilan rendah, belanja tinggi"
19,Male,52,23,29,4,🧍 Penghasilan & belanja rendah
20,Female,35,23,98,2,"📣 Penghasilan rendah, belanja tinggi"
21,Male,35,24,35,4,🧍 Penghasilan & belanja rendah
22,Male,25,24,73,2,"📣 Penghasilan rendah, belanja tinggi"
23,Female,46,25,5,4,🧍 Penghasilan & belanja rendah
24,Male,31,25,73,2,"📣 Penghasilan rendah, belanja tinggi"
25,Female,54,28,14,4,🧍 Penghasilan & belanja rendah
26,Male,29,28,82,2,"📣 Penghasilan rendah, belanja tinggi"
27,Female,45,28,32,4,🧍 Penghasilan & belanja rendah
28,Male,35,28,61,2,"📣 Penghasilan rendah, belanja tinggi"
29,Female,40,29,31,4,🧍 Penghasilan & belanja rendah
30,Female,23,29,87,2,"📣 Penghasilan rendah, belanja tinggi"
31,Male,60,30,4,4,🧍 Penghasilan & belanja rendah
32,Female,21,30,73,2,"📣 Penghasilan rendah, belanja tinggi"
33,Male,53,33,4,4,🧍 Penghasilan & belanja rendah
34,Male,18,33,92,2,"📣 Penghasilan rendah, belanja tinggi"
35,Female,49,33,14,4,🧍 Penghasilan & belanja rendah
36,Female,21,33,81,2,"📣 Penghasilan rendah, belanja tinggi"
37,Female,42,34,17,4,🧍 Penghasilan & belanja rendah
38,Female,30,34,73,2,"📣 Penghasilan rendah, belanja tinggi"
39,Female,36,37,26,4,🧍 Penghasilan & belanja rendah
40,Female,20,37,75,2,"📣 Penghasilan rendah, belanja tinggi"
41,Female,65,38,35,4,🧍 Penghasilan & belanja rendah
42,Male,24,38,92,2,"📣 Penghasilan rendah, belanja tinggi"
43,Male,48,39,36,4,🧍 Penghasilan & belanja rendah
44,Female,31,39,61,0,⚖️ Rata-rata
45,Female,49,39,28,4,🧍 Penghasilan & belanja rendah
46,Female,24,39,65,2,"📣 Penghasilan rendah, belanja tinggi"
47,Female,50,40,55,0,⚖️ Rata-rata
48,Female,27,40,47,0,⚖️ Rata-rata
49,Female,29,40,42,0,⚖️ Rata-rata
50,Female,31,40,42,0,⚖️ Rata-rata
51,Female,49,42,52,0,⚖️ Rata-rata
52,Male,33,42,60,0,⚖️ Rata-rata
53,Female,31,43,54,0,⚖️ Rata-rata
54,Male,59,43,60,0,⚖️ Rata-rata
55,Female,50,43,45,0,⚖️ Rata-rata
56,Male,47,43,41,0,⚖️ Rata-rata
57,Female,51,44,50,0,⚖️ Rata-rata
58,Male,69,44,46,0,⚖️ Rata-rata
59,Female,27,46,51,0,⚖️ Rata-rata
60,Male,53,46,46,0,⚖️ Rata-rata
61,Male,70,46,56,0,⚖️ Rata-rata
62,Male,19,46,55,0,⚖️ Rata-rata
63,Female,67,47,52,0,⚖️ Rata-rata
64,Female,54,47,59,0,⚖️ Rata-rata
65,Male,63,48,51,0,⚖️ Rata-rata
66,Male,18,48,59,0,⚖️ Rata-rata
67,Female,43,48,50,0,⚖️ Rata-rata
68,Female,68,48,48,0,⚖️ Rata-rata
69,Male,19,48,59,0,⚖️ Rata-rata
70,Female,32,48,47,0,⚖️ Rata-rata
71,Male,70,49,55,0,⚖️ Rata-rata
72,Female,47,49,42,0,⚖️ Rata-rata
73,Female,60,50,49,0,⚖️ Rata-rata
74,Female,60,50,56,0,⚖️ Rata-rata
75,Male,59,54,47,0,⚖️ Rata-rata
76,Male,26,54,54,0,⚖️ Rata-rata
77,Female,45,54,53,0,⚖️ Rata-rata
78,Male,40,54,48,0,⚖️ Rata-rata
79,Female,23,54,52,0,⚖️ Rata-rata
80,Female,49,54,42,0,⚖️ Rata-rata
81,Male,57,54,51,0,⚖️ Rata-rata
82,Male,38,54,55,0,⚖️ Rata-rata
83,Male,67,54,41,0,⚖️ Rata-rata
84,Female,46,54,44,0,⚖️ Rata-rata
85,Female,21,54,57,0,⚖️ Rata-rata
86,Male,48,54,46,0,⚖️ Rata-rata
87,Female,55,57,58,0,⚖️ Rata-rata
88,Female,22,57,55,0,⚖️ Rata-rata
89,Female,34,58,60,0,⚖️ Rata-rata
90,Female,50,58,46,0,⚖️ Rata-rata
91,Female,68,59,55,0,⚖️ Rata-rata
92,Male,18,59,41,0,⚖️ Rata-rata
93,Male,48,60,49,0,⚖️ Rata-rata
94,Female,40,60,40,0,⚖️ Rata-rata
95,Female,32,60,42,0,⚖️ Rata-rata
96,Male,24,60,52,0,⚖️ Rata-rata
97,Female,47,60,47,0,⚖️ Rata-rata
98,Female,27,60,50,0,⚖️ Rata-rata
99,Male,48,61,42,0,⚖️ Rata-rata
100,Male,20,61,49,0,⚖️ Rata-rata
101,Female,23,62,41,0,⚖️ Rata-rata
102,Female,49,62,48,0,⚖️ Rata-rata
103,Male,67,62,59,0,⚖️ Rata-rata
104,Male,26,62,55,0,⚖️ Rata-rata
105,Male,49,62,56,0,⚖️ Rata-rata
106,Female,21,62,42,0,⚖️ Rata-rata
107,Female,66,63,50,0,⚖️ Rata-rata
108,Male,54,63,46,0,⚖️ Rata-rata
109,Male,68,63,43,0,⚖️ Rata-rata
110,Male,66,63,48,0,⚖️ Rata-rata
111,Male,65,63,52,0,⚖️ Rata-rata
112,Female,19,63,54,0,⚖️ Rata-rata
113,Female,38,64,42,0,⚖️ Rata-rata
114,Male,19,64,46,0,⚖️ Rata-rata
115,Female,18,65,48,0,⚖️ Rata-rata
116,Female,19,65,50,0,⚖️ Rata-rata
117,Female,63,65,43,0,⚖️ Rata-rata
118,Female,49,65,59,0,⚖️ Rata-rata
119,Female,51,67,43,0,⚖️ Rata-rata
120,Female,50,67,57,0,⚖️ Rata-rata
121,Male,27,67,56,0,⚖️ Rata-rata
122,Female,38,67,40,0,⚖️ Rata-rata
123,Female,40,69,58,0,⚖️ Rata-rata
